5.0,-16.0,1.0,0.31
30.0,-6.0,-1.0,0.73
15.0,-2.0,-1.0,0.23
-45.0,-12.0,-1.0,0.33
-15.0,-12.0,-1.0,0.31
-10.0,-2.0,1.0,0.30
35.0,8.0,1.0,0.31
0.0,8.0,1.0,0.27
40.0,-16.0,1.0,0.27
-10.0,-12.0,1.0,0.74
0.0,-12.0,-1.0,0.71
-45.0,-2.0,1.0,0.35
-45.0,4.0,1.0,0.38
10.0,1.0,1.0,0.35
-20.0,1.0,1.0,0.42
30.0,-4.0,-1.0,0.43
-10.0,1.0,1.0,0.50
-30.0,8.0,1.0,0.45
0.0,-6.0,-1.0,0.41
-10.0,-16.0,-1.0,0.35
-20.0,-2.0,1.0,0.32
25.0,-6.0,-1.0,0.35
30.0,4.0,-1.0,0.32
10.0,-4.0,-1.0,0.58
-40.0,-9.0,-1.0,0.48
15.0,-4.0,-1.0,0.58
35.0,-6.0,-1.0,0.38
20.0,8.0,1.0,0.56
35.0,-12.0,-1.0,0.65
-5.0,-9.0,-1.0,0.67
10.0,-16.0,1.0,0.35
15.0,1.0,1.0,0.91
25.0,4.0,1.0,0.47
-10.0,-4.0,1.0,0.41
0.0,-2.0,1.0,0.35
30.0,-12.0,-1.0,0.46
-30.0,-6.0,-1.0,0.41
-45.0,-4.0,-1.0,0.35
-15.0,-16.0,-1.0,0.52
30.0,1.0,-1.0,0.55
5.0,4.0,1.0,0.53
-40.0,4.0,1.0,0.31
5.0,-2.0,1.0,0.41
-25.0,-6.0,1.0,0.39
-10.0,8.0,1.0,0.34
0.0,-4.0,1.0,0.48
-5.0,-4.0,1.0,0.81
-15.0,4.0,1.0,0.59
40.0,-2.0,-1.0,0.39
15.0,8.0,-1.0,0.42
-5.0,-16.0,-1.0,0.44
-5.0,8.0,1.0,0.44
-25.0,-9.0,1.0,0.54
-45.0,8.0,1.0,0.45
-25.0,-2.0,1.0,0.41
-35.0,4.0,1.0,0.43
40.0,1.0,1.0,0.50
40.0,4.0,1.0,0.59
5.0,-4.0,-1.0,0.48
-25.0,-16.0,-1.0,0.33
-40.0,-12.0,-1.0,0.33
-15.0,-9.0,-1.0,0.37
20.0,4.0,-1.0,0.50
5.0,8.0,1.0,0.22
20.0,-2.0,1.0,0.64
-15.0,8.0,1.0,0.35
40.0,-6.0,-1.0,0.54
-20.0,-9.0,1.0,1.02
-25.0,4.0,1.0,0.36
5.0,-9.0,-1.0,0.52
30.0,-2.0,-1.0,0.45
-40.0,1.0,1.0,0.38
-20.0,-6.0,1.0,0.31
-40.0,8.0,1.0,0.47
-40.0,-2.0,1.0,0.34
-15.0,-4.0,1.0,0.44
35.0,4.0,1.0,0.59
25.0,-12.0,-1.0,0.37
-35.0,-4.0,-1.0,0.40
40.0,-9.0,-1.0,0.31
-35.0,-6.0,-1.0,0.40
-45.0,-6.0,1.0,0.68
-20.0,-12.0,1.0,0.33
-20.0,-16.0,1.0,0.36
15.0,-16.0,1.0,0.42
5.0,1.0,1.0,0.76
15.0,4.0,1.0,0.67
30.0,8.0,1.0,0.47
-45.0,1.0,1.0,0.46
35.0,1.0,1.0,0.76
0.0,-9.0,-1.0,0.32
30.0,-16.0,-1.0,0.33
10.0,-12.0,-1.0,0.28
-35.0,-9.0,-1.0,0.30
-45.0,-9.0,-1.0,0.33
-35.0,1.0,-1.0,0.38
20.0,-12.0,-1.0,0.44
-30.0,4.0,1.0,0.30
-25.0,-12.0,1.0,0.62
25.0,-9.0,-1.0,0.31
15.0,-9.0,-1.0,0.40
40.0,8.0,1.0,0.43
-30.0,-12.0,-1.0,0.57
35.0,-16.0,-1.0,0.44
15.0,-6.0,-1.0,0.54
